gene	n_probes	probe_used	young_mean_log2	old_mean_log2	log2FC_old_vs_young	welch_t	p_value	direction
Col1a1	1	1423669_PM_at	12.595	12.405	-0.19	-4.02	0.02367	down_with_aging
Col1a2	1	1446326_PM_at	8.915	8.3575	-0.5575	-2.331	0.0586	down_with_aging
Col3a1	2	1427883_PM_a_at	12.5725	12.2925	-0.28	-9.186	0.00015	down_with_aging
Col4a1	2	1452035_PM_at	11.555	11.43	-0.125	-2.801	0.03143	down_with_aging
Col4a2	1	1424051_PM_at	9.975	9.49	-0.485	-7.031	0.00042	down_with_aging
Col5a1	3	1416740_PM_at	12.1325	11.4925	-0.64	-11.092	0.00117	down_with_aging
Col6a1	1	1448590_PM_at	11.985	11.7	-0.285	-7.144	0.00048	down_with_aging
Fn1	1	1426642_PM_at	11.975	11.87	-0.105	-1.256	0.26352	down_with_aging
Dcn	1	1449368_PM_at	12.7875	12.695	-0.0925	-1.754	0.17301	down_with_aging
Lum	1	1423607_PM_at	12.165	12.0025	-0.1625	-3.534	0.02001	down_with_aging
Eln	2	1420854_PM_at	12.33	11.75	-0.58	-4.341	0.02065	down_with_aging
Fbn1	2	1460208_PM_at	12.0075	11.9025	-0.105	-3.934	0.00768	down_with_aging
Postn	1	1423606_PM_at	8.82	8.755	-0.065	-0.149	0.88702	down_with_aging
Tnc	2	1416342_PM_at	4.49	5.42	0.93	1.803	0.16726	up_with_aging
Lox	3	1448228_PM_at	10.72	9.8675	-0.8525	-12.318	2e-05	down_with_aging
Mmp2	1	1416136_PM_at	12.395	11.7975	-0.5975	-3.2	0.04852	down_with_aging
Mmp3	1	1418945_PM_at	9.9425	8.85	-1.0925	-5.652	0.00168	down_with_aging
Mmp9	2	1448291_PM_at	4.4075	4.44	0.0325	0.556	0.59942	up_with_aging
Timp1	1	1460227_PM_at	8.2425	8.085	-0.1575	-0.988	0.36163	down_with_aging
