names	scores	logfoldchanges	pvals	pvals_adj
Gm10076	14.938289	2.421151	1.856817624181793e-50	4.009426295895746e-46
mt-Cytb	14.414721	1.4879526	4.181274566595028e-47	4.514313085824322e-43
Gm3699	14.16207	3.1659765	1.57290260474377e-45	1.1321228648077409e-41
Rpl41	12.929144	0.95042735	3.0823308748889984e-38	1.3311354116295629e-34
mt-Co1	12.8257475	1.1641383	1.1764686463120743e-37	4.233914579969437e-34
Rpl15	12.665682	1.5674691	9.162098274758858e-37	2.826245543526686e-33
Rpl22l1	11.968502	2.4033854	5.195830272943819e-33	9.735209803028572e-30
Rpl32	11.933456	1.045495	7.921464017270918e-33	1.3157551732686993e-29
Gm3511	11.84373	1.3419585	2.3190392650261938e-32	3.576786774979329e-29
Ppia	11.806697	1.8529634	3.604467329848333e-32	5.18875087022767e-29
mt-Nd3	11.285614	2.668546	1.5455918027496445e-29	1.8541090998207265e-26
Rpl35	11.249823	1.2009032	2.3205833155631504e-29	2.637281870155532e-26
Eef1a1	11.2197485	1.0982623	3.2619799164397695e-29	3.521796616784197e-26
mt-Nd5	11.034082	1.2854663	2.617100727669629e-28	2.354627333857096e-25
Rpl10	10.937397	0.7618537	7.636124253312506e-28	6.595473240071077e-25
Gm10736	10.731598	1.9356054	7.233429963628427e-27	5.3859121794699525e-24
2010107E04Rik	10.715194	1.6694134	8.637616133803252e-27	6.217068172573788e-24
mt-Nd6	10.693197	1.3478513	1.0952885118435912e-26	7.629214463302796e-24
mt-Nd4	10.355295	1.0275962	3.9596434090426447e-25	2.375016114762717e-22
Rps16	10.25165	1.1420668	1.1634032252494443e-24	6.789558335894933e-22
Rps25	10.044484	1.2153211	9.715435428282344e-24	5.3791127487923244e-21
Hist1h2bc	9.808487	2.8343513	1.035086099438637e-22	4.9668031433729975e-20
Rps29	9.773317	0.6362268	1.4657224380274934e-22	6.733903107303758e-20
Rpl28	9.44486	1.0814587	3.55879336719165e-21	1.372232592460166e-18
Rps11	9.371041	0.9159176	7.182057170546971e-21	2.5847026747270122e-18
Rps26	9.357868	0.8356437	8.136181925890449e-21	2.880075021733647e-18
Rps27a	9.299583	0.76148194	1.4099723482900948e-20	4.910569825262583e-18
Rps17	9.27796	0.9503147	1.727551545090742e-20	5.828596955178811e-18
Gapdh	9.187488	1.1011277	4.0212308304985816e-20	1.3156126867114527e-17
mt-Nd1	9.161514	0.7182043	5.117408456659981e-20	1.5931863764316674e-17
Rps27	9.142252	0.55862534	6.11652401259423e-20	1.8601986338584112e-17
Rpl38	9.122865	0.8313057	7.316411240081577e-20	2.1641543548915274e-17
Cfl1	9.059733	1.0587629	1.3076963749277513e-19	3.715406292607228e-17
Fau	9.053395	0.7400701	1.3859021536438468e-19	3.8366391286707157e-17
Rpl36	9.027547	0.7432019	1.755638287399652e-19	4.798670574660846e-17
Rpl10a	8.981441	1.1086023	2.6724437355720067e-19	7.124207108914363e-17
Sprr1b	8.953106	2.180653	3.456176463740304e-19	9.001603895267965e-17
Rpl37	8.952982	0.75134546	3.460070964234896e-19	9.001603895267965e-17
